Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
399,8901,91,498,1199,483,13,0.5960395606792696,0.0055900820170959,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
401,8901,97,471,1189,471,13,0.7248485396311461,0.0008331759151342,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
409,8901,97,483,1199,483,13,0.5526315789473683,0.0098396614128719,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
412,8901,97,498,1189,483,13,-0.4503410014021148,0.0362980985292846,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
418,8901,1189,483,1199,483,13,0.4635863249727652,0.0311502591754897,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
421,8901,1189,498,1199,498,13,0.6578947368421051,0.0021183935974864,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
425,8902,3,467,12,483,12,0.5846845821518305,0.0088421741541674,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Mingus Mill
427,8902,3,467,68,483,12,0.5539117094069973,0.0131271093915706,Acer,rubrum,red maple,Acer rubrum,Carya,ovata,shagbark hickory,Carya ovata,GRSM-Mingus Mill
436,8902,3,483,68,483,12,0.7287040657115997,0.0011718251821904,Acer,rubrum,red maple,Acer rubrum,Carya,ovata,shagbark hickory,Carya ovata,GRSM-Mingus Mill
438,8902,3,483,102,467,12,0.5038314736557788,0.0233149963825438,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
439,8902,3,483,102,483,12,0.4923076923076924,0.027479806211379,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
442,8902,3,483,1187,483,12,0.4923076923076924,0.027479806211379,Acer,rubrum,red maple,Acer rubrum,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
462,8902,68,483,102,467,12,0.5231388366621641,0.0191546447804258,Carya,ovata,shagbark hickory,Carya ovata,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
463,8902,68,483,102,483,12,0.5116432801804849,0.022675321110971,Carya,ovata,shagbark hickory,Carya ovata,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
465,8902,68,483,1187,467,12,0.6356780147696934,0.0046357429770426,Carya,ovata,shagbark hickory,Carya ovata,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
466,8902,68,483,1187,483,12,0.5736606474750892,0.0106161341700328,Carya,ovata,shagbark hickory,Carya ovata,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
477,8902,102,467,1187,483,12,0.442760992000533,0.0462290605523907,Quercus,rubra,northern red oak,Quercus rubra,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
483,8903,12,483,79,483,12,0.546875,0.0154106570520779,Cornus,florida,flowering dogwood,Cornus florida,Fagus,grandifolia,American beech,Fagus grandifolia,GRSM-Deep creek 
484,8903,12,483,100,483,12,0.453125,0.04471964048599,Cornus,florida,flowering dogwood,Cornus florida,Quercus,alba,white oak,Quercus alba,GRSM-Deep creek 
485,8903,79,483,100,483,12,0.703125,0.0018410212585438,Fagus,grandifolia,American beech,Fagus grandifolia,Quercus,alba,white oak,Quercus alba,GRSM-Deep creek 
489,8904,28,467,1172,467,13,0.7785410240482681,0.0003261078686802,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
490,8904,28,467,1172,483,13,0.5540540540540541,0.0109290105101839,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
491,8904,28,471,93,471,11,0.7222222222222222,0.0022540189597224,Prunus,serotina,black cherry,Prunus serotina,Tilia,americana,American basswood,Tilia americana,GRSM-OVC
496,8904,28,498,1172,498,11,0.6481481481481481,0.0061204298832061,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
510,9338,3,371,823,371,13,0.6143922080988025,0.0039337873085607,Acer,rubrum,red maple,Acer rubrum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Lagoons
511,9338,3,467,81,467,12,0.442760992000533,0.0462290605523907,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Lagoons
512,9338,3,467,98,371,12,0.5757575757575757,0.0087577327507883,Acer,rubrum,red maple,Acer rubrum,Betula,lenta,sweet birch,Betula lenta,GRSM-Tremont-Lagoons
514,9338,3,467,823,467,12,0.5649019553110248,0.0109851589729484,Acer,rubrum,red maple,Acer rubrum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Lagoons
517,9338,3,471,76,498,12,0.6201736729460423,0.0057403462859958,Acer,rubrum,red maple,Acer rubrum,Hamamelis,virginiana,American witchhazel,Hamamelis virginiana,GRSM-Tremont-Lagoons
519,9338,3,471,98,471,12,0.6153846153846154,0.0058550185971252,Acer,rubrum,red maple,Acer rubrum,Betula,lenta,sweet birch,Betula lenta,GRSM-Tremont-Lagoons
521,9338,3,471,970,498,12,0.5625686771261945,0.0125645741505303,Acer,rubrum,red maple,Acer rubrum,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
523,9338,3,471,1192,471,12,0.4615384615384615,0.0387488436156419,Acer,rubrum,red maple,Acer rubrum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Lagoons
