Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,species_a_name,species_b_name,site_name
769,9341,3,Breaking leaf buds,67,Breaking leaf buds,12,0.4806345965331828,0.0322943377269403,red maple,pignut hickory,GRSM-Tremont-Falls Trail
773,9341,3,Increasing leaf size,60,Increasing leaf size,13,0.8079647378096765,0.0001725714300493,red maple,striped maple,GRSM-Tremont-Falls Trail
775,9341,3,Increasing leaf size,61,Increasing leaf size,13,0.9999999999999998,2.9954815934341095e-06,red maple,sugar maple,GRSM-Tremont-Falls Trail
776,9341,3,Increasing leaf size,67,Increasing leaf size,13,0.4768316485434156,0.0264506523232998,red maple,pignut hickory,GRSM-Tremont-Falls Trail
783,9341,3,Increasing leaf size,1179,Increasing leaf size,13,0.4575261124140018,0.0317749803468738,red maple,Kentucky yellowwood,GRSM-Tremont-Falls Trail
788,9341,3,Leaves,12,Leaves,14,0.4269932462267199,0.0363684588239646,red maple,flowering dogwood,GRSM-Tremont-Falls Trail
789,9341,3,Leaves,60,Leaves,14,0.6477272727272727,0.0016415349519749,red maple,striped maple,GRSM-Tremont-Falls Trail
790,9341,3,Leaves,61,Leaves,14,0.8068181818181818,8.791878910231842e-05,red maple,sugar maple,GRSM-Tremont-Falls Trail
795,9341,3,Leaves,102,Leaves,14,0.5084826915437648,0.0130669594937223,red maple,northern red oak,GRSM-Tremont-Falls Trail
797,9341,3,Leaves,1179,Leaves,14,0.5536811530143216,0.0068808604756035,red maple,Kentucky yellowwood,GRSM-Tremont-Falls Trail
